genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,8,#_________,23.16,4.40,0.0554,0.8356,0.1039
GCF_048571295.1_ASM4857129v1_genomic.fna,18,#___________________,16.21,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,28,#_____________________________,14.55,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,38,##_________,24.09,4.96,0.0515,0.5548,0.0943
GCF_048571295.1_ASM4857129v1_genomic.fna,48,##___________________,15.76,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,58,##_____________________________,15.21,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,68,###_________,31.20,7.12,0.0494,0.7671,0.0928
GCF_048571295.1_ASM4857129v1_genomic.fna,78,###___________________,19.53,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,88,###_____________________________,20.53,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,98,####_________,37.78,8.56,0.0454,0.8082,0.0860
GCF_048571295.1_ASM4857129v1_genomic.fna,108,####___________________,25.12,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,118,####_____________________________,23.61,4.95,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,128,#####_________,43.82,9.37,0.0432,0.8014,0.0820
GCF_048571295.1_ASM4857129v1_genomic.fna,138,#####___________________,28.07,5.68,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,148,#####_____________________________,28.16,5.71,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,158,######_________,48.22,12.08,0.0427,0.8014,0.0811
GCF_048571295.1_ASM4857129v1_genomic.fna,168,######___________________,33.39,7.13,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,178,######_____________________________,33.74,7.13,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,188,#######_________,50.33,12.08,0.0445,0.8219,0.0844
GCF_048571295.1_ASM4857129v1_genomic.fna,198,#######___________________,35.06,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,208,#######_____________________________,35.42,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,218,########_________,50.34,12.04,0.0458,0.8151,0.0867
GCF_048571295.1_ASM4857129v1_genomic.fna,228,########___________________,37.70,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,238,########_____________________________,41.46,7.77,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,248,#########_________,58.55,11.74,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,258,#########___________________,43.77,8.65,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,268,#########_____________________________,48.23,8.66,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,278,##########_________,57.19,12.06,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,288,##########___________________,43.47,9.36,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,298,##########_____________________________,43.72,9.37,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,308,###########_________,52.21,12.17,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,318,###########___________________,53.56,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,328,###########_____________________________,51.86,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,338,############_________,56.70,12.14,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,348,############___________________,59.23,12.15,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,358,############_____________________________,60.34,12.15,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,368,#############_________,57.52,12.49,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,378,#############___________________,51.67,12.50,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,388,#############_____________________________,44.79,12.48,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,398,##############_________,48.54,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,408,##############___________________,48.98,12.81,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,418,##############_____________________________,55.39,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,428,###############_________,61.32,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,438,###############___________________,63.57,13.15,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,448,###############_____________________________,65.65,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,458,##__##__#_##_##__#_#__##__#__#__#_#__#__#_#_##_###_,55.20,11.77,0.0418,0.8288,0.0796
GCF_048571295.1_ASM4857129v1_genomic.fna,468,##__##_#__##__####_##_#__#__###_#_#_###_####_####_,62.18,12.47,0.0411,0.8288,0.0783
GCF_048571295.1_ASM4857129v1_genomic.fna,478,##_#####__#__#__#_#_#__##_#_#_###__#__##__#_#__#_#__,56.69,12.09,0.0419,0.8288,0.0798
GCF_048571295.1_ASM4857129v1_genomic.fna,488,#__#__##_#_##_#_##__#__#__#_#_##__####__#_#__####_,56.37,11.82,0.0416,0.8151,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,498,#_#__##__#_#_##__#__##_##__#_##__#__#__#_#__#__#__,52.45,9.38,0.0420,0.8219,0.0799
GCF_049264865.1_ASM4926486v1_genomic.fna,8,#_________,21.86,4.40,0.0580,0.8421,0.1085
GCF_049264865.1_ASM4926486v1_genomic.fna,18,#___________________,16.99,3.33,0.0000,0.0000,0.0000
