genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,4,#_____,25.58,4.96,0.0519,0.6096,0.0957
GCF_048571295.1_ASM4857129v1_genomic.fna,14,#_______________,19.47,3.56,0.0504,0.3973,0.0895
GCF_048571295.1_ASM4857129v1_genomic.fna,24,#_________________________,13.29,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,34,##_____,30.75,7.13,0.0476,0.7192,0.0893
GCF_048571295.1_ASM4857129v1_genomic.fna,44,##_______________,22.51,4.73,0.0530,0.4178,0.0941
GCF_048571295.1_ASM4857129v1_genomic.fna,54,##_________________________,14.94,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,64,###_____,39.92,8.64,0.0426,0.8219,0.0810
GCF_048571295.1_ASM4857129v1_genomic.fna,74,###_______________,26.14,6.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,84,###_________________________,20.53,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,94,####_____,43.70,10.95,0.0445,0.8219,0.0844
GCF_048571295.1_ASM4857129v1_genomic.fna,104,####_______________,28.45,6.64,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,114,####_________________________,24.96,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,124,#####_____,49.79,11.76,0.0423,0.8219,0.0805
GCF_048571295.1_ASM4857129v1_genomic.fna,134,#####_______________,30.90,7.06,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,144,#####_________________________,28.64,5.69,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,154,######_____,51.43,12.15,0.0405,0.8151,0.0772
GCF_048571295.1_ASM4857129v1_genomic.fna,164,######_______________,31.73,7.12,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,174,######_________________________,32.06,7.12,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,184,#######_____,55.19,12.79,0.0404,0.8219,0.0770
GCF_048571295.1_ASM4857129v1_genomic.fna,194,#######_______________,35.41,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,204,#######_________________________,35.05,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,214,########_____,64.38,13.45,0.0404,0.8219,0.0770
GCF_048571295.1_ASM4857129v1_genomic.fna,224,########_______________,42.55,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,234,########_________________________,45.41,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,244,#########_____,70.31,13.47,0.0404,0.8219,0.0770
