genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,5,#______,23.20,4.63,0.0522,0.6027,0.0961
GCF_048571295.1_ASM4857129v1_genomic.fna,15,#________________,18.30,3.56,0.0530,0.4178,0.0941
GCF_048571295.1_ASM4857129v1_genomic.fna,25,#__________________________,13.58,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,35,##______,30.53,7.12,0.0489,0.7740,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,45,##________________,19.36,4.50,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,55,##__________________________,16.05,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,65,###______,37.87,8.09,0.0485,0.8219,0.0916
GCF_048571295.1_ASM4857129v1_genomic.fna,75,###________________,24.73,5.05,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,85,###__________________________,20.61,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,95,####______,40.42,8.48,0.0438,0.8219,0.0832
GCF_048571295.1_ASM4857129v1_genomic.fna,105,####________________,25.77,5.28,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,115,####__________________________,23.34,4.95,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,125,#####______,45.30,9.38,0.0429,0.8151,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,135,#####________________,27.83,5.70,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,145,#####__________________________,27.66,5.70,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,155,######______,52.35,12.15,0.0410,0.8219,0.0781
GCF_048571295.1_ASM4857129v1_genomic.fna,165,######________________,33.30,7.13,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,175,######__________________________,31.25,7.12,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,185,#######______,55.42,12.80,0.0410,0.8219,0.0781
GCF_048571295.1_ASM4857129v1_genomic.fna,195,#######________________,35.45,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,205,#######__________________________,33.62,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,215,########______,61.06,13.12,0.0410,0.8219,0.0781
GCF_048571295.1_ASM4857129v1_genomic.fna,225,########________________,44.45,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,235,########__________________________,43.65,7.77,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,245,#########______,70.91,13.13,0.0412,0.8219,0.0785
GCF_048571295.1_ASM4857129v1_genomic.fna,255,#########________________,47.39,8.68,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,265,#########__________________________,44.34,8.65,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,275,##########______,62.43,13.13,0.0413,0.8219,0.0786
GCF_048571295.1_ASM4857129v1_genomic.fna,285,##########________________,45.17,9.36,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,295,##########__________________________,47.03,9.35,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,305,###########______,59.38,13.14,0.0413,0.8219,0.0786
GCF_048571295.1_ASM4857129v1_genomic.fna,315,###########________________,50.40,11.83,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,325,###########__________________________,57.43,11.83,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,335,############______,69.32,13.13,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,345,############________________,58.49,12.17,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,355,############__________________________,54.47,12.14,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,365,#############______,51.17,13.14,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,375,#############________________,45.43,12.49,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,385,#############__________________________,47.44,12.50,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,395,##############______,58.18,13.14,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,405,##############________________,62.25,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,415,##############__________________________,60.80,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,425,###############______,62.73,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,435,###############________________,65.48,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,445,###############__________________________,62.04,13.14,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,455,#####_#_#_#_#####__#__##__#__##__#####_##_###__#_#_,60.59,12.82,0.0393,0.8219,0.0750
GCF_048571295.1_ASM4857129v1_genomic.fna,465,#_#_##_###__#__##_#_#__##__###_#__##_#__####__#_##,55.77,12.16,0.0407,0.8082,0.0775
GCF_048571295.1_ASM4857129v1_genomic.fna,475,#_##_###_#_#__#__###_#_#__#_#_#_#_#_#__#__##__#_##,59.90,12.17,0.0418,0.8219,0.0796
GCF_048571295.1_ASM4857129v1_genomic.fna,485,##_##_##_#__#_#__#__#_#__#_#_#__#_#_#_##_#_##__###__,50.74,11.76,0.0432,0.8219,0.0821
