genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,7,#________,23.13,4.40,0.0638,0.5000,0.1132
GCF_048571295.1_ASM4857129v1_genomic.fna,17,#__________________,16.28,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,27,#____________________________,13.88,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,37,##________,26.44,5.28,0.0551,0.8356,0.1034
GCF_048571295.1_ASM4857129v1_genomic.fna,47,##__________________,17.71,4.17,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,57,##____________________________,16.00,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,67,###________,31.68,7.12,0.0466,0.7397,0.0877
GCF_048571295.1_ASM4857129v1_genomic.fna,77,###__________________,20.05,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,87,###____________________________,19.82,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,97,####________,38.82,8.47,0.0457,0.8082,0.0865
GCF_048571295.1_ASM4857129v1_genomic.fna,107,####__________________,23.10,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,117,####____________________________,25.20,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,127,#####________,45.89,9.38,0.0428,0.8219,0.0814
GCF_048571295.1_ASM4857129v1_genomic.fna,137,#####__________________,28.25,5.71,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,147,#####____________________________,29.28,5.68,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,157,######________,50.46,12.09,0.0416,0.8014,0.0791
GCF_048571295.1_ASM4857129v1_genomic.fna,167,######__________________,30.90,7.13,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,177,######____________________________,32.27,7.12,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,187,#######________,52.70,12.42,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,197,#######__________________,34.28,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,207,#######____________________________,34.52,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,217,########________,53.19,12.41,0.0433,0.8219,0.0823
GCF_048571295.1_ASM4857129v1_genomic.fna,227,########__________________,38.52,7.77,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,237,########____________________________,43.25,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,247,#########________,62.89,12.42,0.0446,0.8151,0.0846
GCF_048571295.1_ASM4857129v1_genomic.fna,257,#########__________________,50.82,8.66,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,267,#########____________________________,46.77,8.66,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,277,##########________,53.99,12.39,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,287,##########__________________,42.47,9.36,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,297,##########____________________________,44.77,9.36,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,307,###########________,57.46,12.48,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,317,###########__________________,48.14,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,327,###########____________________________,51.07,11.83,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,337,############________,61.82,12.47,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,347,############__________________,59.84,12.15,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,357,############____________________________,61.70,12.15,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,367,#############________,59.11,12.49,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,377,#############__________________,49.63,12.49,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,387,#############____________________________,47.45,12.48,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,397,##############________,50.86,12.82,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,407,##############__________________,53.12,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,417,##############____________________________,62.86,12.81,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,427,###############________,62.81,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,437,###############__________________,65.28,13.12,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,447,###############____________________________,61.22,13.14,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,457,##_#__#__#__#_#_##__##_#_#__##_#__#__#__###_##_##__,49.47,9.38,0.0433,0.8151,0.0822
GCF_048571295.1_ASM4857129v1_genomic.fna,467,#__#__#_###_#_####_##_#__#_###_#__##_##__#__###_#_,59.56,12.47,0.0408,0.8288,0.0778
GCF_048571295.1_ASM4857129v1_genomic.fna,477,##_#_##__##_#__#__#_####_##__#__##_#__#__#__##__#_,54.46,11.76,0.0432,0.8288,0.0821
